Date,ARIMA_Forecast,LSTM_Forecast
2027-01-31,9770.87459362408,9933.854359274595
2027-02-28,10085.473224909882,9995.893629190628
2027-03-31,9805.797102029408,10825.701727794343
2027-04-30,9910.34250565319,10229.913411721573
2027-05-31,9880.23528814764,10438.574981782265
2027-06-30,9780.654120289215,10645.516508212964
2027-07-31,9906.477868308766,10694.438204590486
2027-08-31,9876.89391876097,10736.591447586754
2027-09-30,9845.188734418574,11238.038952790424
2027-10-31,9878.752125625519,10821.306193827522
2027-11-30,9857.674000826912,10808.169145962016
2027-12-31,9859.500996586177,11447.51026754
